Starting _boruta_ run
Iteration: 	1 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	2 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	3 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	4 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	5 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	6 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	7 / 100
Confirmed: 	0
Tentative: 	324
Rejected: 	0
Iteration: 	8 / 100
Confirmed: 	0
Tentative: 	29
Rejected: 	295
Iteration: 	9 / 100
Confirmed: 	7
Tentative: 	22
Rejected: 	295
Iteration: 	10 / 100
Confirmed: 	7
Tentative: 	22
Rejected: 	295
Iteration: 	11 / 100
Confirmed: 	7
Tentative: 	22
Rejected: 	295
Iteration: 	12 / 100
Confirmed: 	7
Tentative: 	20
Rejected: 	297
Iteration: 	13 / 100
Confirmed: 	7
Tentative: 	20
Rejected: 	297
Iteration: 	14 / 100
Confirmed: 	7
Tentative: 	20
Rejected: 	297
Iteration: 	15 / 100
Confirmed: 	7
Tentative: 	20
Rejected: 	297
Iteration: 	16 / 100
Confirmed: 	7
Tentative: 	20
Rejected: 	297
Iteration: 	17 / 100
Confirmed: 	7
Tentative: 	19
Rejected: 	298
Iteration: 	18 / 100
Confirmed: 	7
Tentative: 	19
Rejected: 	298
Iteration: 	19 / 100
Confirmed: 	7
Tentative: 	19
Rejected: 	298
Iteration: 	20 / 100
Confirmed: 	7
Tentative: 	19
Rejected: 	298
Iteration: 	21 / 100
Confirmed: 	7
Tentative: 	19
Rejected: 	298
Iteration: 	22 / 100
Confirmed: 	8
Tentative: 	18
Rejected: 	298
Iteration: 	23 / 100
Confirmed: 	8
Tentative: 	17
Rejected: 	299
Iteration: 	24 / 100
Confirmed: 	8
Tentative: 	17
Rejected: 	299
Iteration: 	25 / 100
Confirmed: 	8
Tentative: 	17
Rejected: 	299
Iteration: 	26 / 100
Confirmed: 	8
Tentative: 	16
Rejected: 	300
Iteration: 	27 / 100
Confirmed: 	8
Tentative: 	16
Rejected: 	300
Iteration: 	28 / 100
Confirmed: 	8
Tentative: 	16
Rejected: 	300
Iteration: 	29 / 100
Confirmed: 	9
Tentative: 	14
Rejected: 	301
Iteration: 	30 / 100
Confirmed: 	9
Tentative: 	14
Rejected: 	301
Iteration: 	31 / 100
Confirmed: 	9
Tentative: 	14
Rejected: 	301
Iteration: 	32 / 100
Confirmed: 	10
Tentative: 	12
Rejected: 	302
Iteration: 	33 / 100
Confirmed: 	10
Tentative: 	12
Rejected: 	302
Iteration: 	34 / 100
Confirmed: 	10
Tentative: 	8
Rejected: 	306
Iteration: 	35 / 100
Confirmed: 	10
Tentative: 	8
Rejected: 	306
Iteration: 	36 / 100
Confirmed: 	10
Tentative: 	8
Rejected: 	306
Iteration: 	37 / 100
Confirmed: 	10
Tentative: 	7
Rejected: 	307
Iteration: 	38 / 100
Confirmed: 	10
Tentative: 	7
Rejected: 	307
Iteration: 	39 / 100
Confirmed: 	10
Tentative: 	7
Rejected: 	307
Iteration: 	40 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	41 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	42 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	43 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	44 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	45 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	46 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	47 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	48 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	49 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	50 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	51 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	52 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	53 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	54 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	55 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	56 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	57 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	58 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	59 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	60 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	61 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	62 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	63 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	64 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	65 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	66 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	67 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	68 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	69 / 100
Confirmed: 	10
Tentative: 	5
Rejected: 	309
Iteration: 	70 / 100
Confirmed: 	11
Tentative: 	4
Rejected: 	309
Iteration: 	71 / 100
Confirmed: 	11
Tentative: 	4
Rejected: 	309
Iteration: 	72 / 100
Confirmed: 	11
Tentative: 	4
Rejected: 	309
Iteration: 	73 / 100
Confirmed: 	11
Tentative: 	4
Rejected: 	309
Iteration: 	74 / 100
