scaler,feature
RobustScaler,ABER_ATR_5_15
MinMaxScaler,ABER_SG_5_15
MinMaxScaler,ABER_XG_5_15
MinMaxScaler,ABER_ZG_5_15
MinMaxScaler,ACCBL_20
MinMaxScaler,ACCBM_20
MinMaxScaler,ACCBU_20
MinMaxScaler,AD
RobustScaler,ADOSC_3_10
MinMaxScaler,ADXR_14_2
MinMaxScaler,ADX_14
MinMaxScaler,AGj_13_8_5
MinMaxScaler,AGl_13_8_5
MinMaxScaler,AGt_13_8_5
MinMaxScaler,ALMA_9_6.0_0.85
MinMaxScaler,ALPHAT_14_1_50
MinMaxScaler,ALPHATl_14_1_50_2
MinMaxScaler,AMATe_LR_8_21_2
MinMaxScaler,AMATe_SR_8_21_2
MinMaxScaler,AOBV_LR_2
MinMaxScaler,AOBV_SR_2
RobustScaler,AO_5_34
RobustScaler,APO_12_26
MinMaxScaler,AROOND_14
MinMaxScaler,AROONOSC_14
MinMaxScaler,AROONU_14
MinMaxScaler,AR_26
MinMaxScaler,ATRTSe_14_20_3.0
RobustScaler,ATRr_14
RobustScaler,BBB_5_2.0
MinMaxScaler,BBL_5_2.0
MinMaxScaler,BBM_5_2.0
RobustScaler,BBP_5_2.0
MinMaxScaler,BBU_5_2.0
RobustScaler,BEARP_13
RobustScaler,BIAS_SMA_26
MinMaxScaler,BOP
MinMaxScaler,BR_26
RobustScaler,BULLP_13
MinMaxScaler,CCI_14_0.015
MinMaxScaler,CDL_3WHITESOLDIERS
MinMaxScaler,CDL_ADVANCEBLOCK
MinMaxScaler,CDL_BELTHOLD
MinMaxScaler,CDL_CLOSINGMARUBOZU
MinMaxScaler,CDL_DOJI_10_0.1
MinMaxScaler,CDL_DRAGONFLYDOJI
MinMaxScaler,CDL_GRAVESTONEDOJI
MinMaxScaler,CDL_HAMMER
MinMaxScaler,CDL_HANGINGMAN
MinMaxScaler,CDL_HIGHWAVE
MinMaxScaler,CDL_HIKKAKE
MinMaxScaler,CDL_HIKKAKEMOD
MinMaxScaler,CDL_IDENTICAL3CROWS
MinMaxScaler,CDL_INSIDE
MinMaxScaler,CDL_LONGLEGGEDDOJI
MinMaxScaler,CDL_LONGLINE
MinMaxScaler,CDL_MARUBOZU
MinMaxScaler,CDL_MATCHINGLOW
MinMaxScaler,CDL_RICKSHAWMAN
MinMaxScaler,CDL_SEPARATINGLINES
MinMaxScaler,CDL_SHORTLINE
MinMaxScaler,CDL_SPINNINGTOP
MinMaxScaler,CDL_STALLEDPATTERN
MinMaxScaler,CDL_TAKURI
RobustScaler,CFO_9
RobustScaler,CG_10
MinMaxScaler,CHDLREXTd_22_22_14_2.0
MinMaxScaler,CHDLREXTl_22_22_14_2.0
MinMaxScaler,CHDLREXTs_22_22_14_2.0
MinMaxScaler,CHOP_14_1_100.0
MinMaxScaler,CKSPl_10_3_20
MinMaxScaler,CKSPs_10_3_20
MinMaxScaler,CMF_20
MinMaxScaler,CMO_14
MinMaxScaler,COPC_11_14_10
MinMaxScaler,CRSI_3_2_100
MinMaxScaler,CTI_12
RobustScaler,CUBE_3.0_-1
RobustScaler,CUBEs_3.0_-1
MinMaxScaler,DCL_20_20
MinMaxScaler,DCM_20_20
MinMaxScaler,DCU_20_20
MinMaxScaler,DEC_1
MinMaxScaler,DEMA_10
RobustScaler,DMN_14
RobustScaler,DMP_14
RobustScaler,DPO_20
MinMaxScaler,D_9_3
MinMaxScaler,EBSW_40_10
RobustScaler,EFI_13
MinMaxScaler,EMA_10
RobustScaler,ENTP_10
MinMaxScaler,ER_10
MinMaxScaler,FAMA_0.5_0.05
MinMaxScaler,FISHERT_9_1
MinMaxScaler,FISHERTs_9_1
MinMaxScaler,FWMA_10
MinMaxScaler,HA_close
MinMaxScaler,HA_high
MinMaxScaler,HA_low
MinMaxScaler,HA_open
MinMaxScaler,HILO_13_21
MinMaxScaler,HL2
MinMaxScaler,HLC3
MinMaxScaler,HMA_10
MinMaxScaler,HWL_1
MinMaxScaler,HWMA_0.2_0.1_0.1
MinMaxScaler,HWM_1
MinMaxScaler,HWU_1
MinMaxScaler,ICS_26
MinMaxScaler,IKS_26
MinMaxScaler,INC_1
MinMaxScaler,INERTIA_20_14
MinMaxScaler,INVFISHER_1.0
MinMaxScaler,INVFISHERs_1.0
MinMaxScaler,ISA_9
MinMaxScaler,ISB_26
MinMaxScaler,ITS_9
MinMaxScaler,JMA_7_0.0
MinMaxScaler,J_9_3
MinMaxScaler,KAMA_10_2_30
MinMaxScaler,KCBe_20_2
MinMaxScaler,KCLe_20_2
MinMaxScaler,KCUe_20_2
MinMaxScaler,KST_10_15_20_30_10_10_10_15
MinMaxScaler,KSTs_9
RobustScaler,KURT_30
RobustScaler,KVO_34_55_13
RobustScaler,KVOs_34_55_13
MinMaxScaler,K_9_3
MinMaxScaler,LDECAY_1
MinMaxScaler,LINREG_14
RobustScaler,LOGRET_1
RobustScaler,MACD_12_26_9
RobustScaler,MACDh_12_26_9
RobustScaler,MACDs_12_26_9
RobustScaler,MAD_30
MinMaxScaler,MAMA_0.5_0.05
MinMaxScaler,MASSI_9_25
MinMaxScaler,MCGD_10
MinMaxScaler,MEDIAN_30
MinMaxScaler,MFI_14
MinMaxScaler,MIDPOINT_2
MinMaxScaler,MIDPRICE_2
RobustScaler,MOM_10
RobustScaler,NATR_14
MinMaxScaler,NVI_1
MinMaxScaler,OBV
MinMaxScaler,OBV_max_2
MinMaxScaler,OBV_min_2
MinMaxScaler,OBVe_12
MinMaxScaler,OBVe_4
MinMaxScaler,OHLC4
RobustScaler,PCTRET_1
RobustScaler,PDIST
MinMaxScaler,PGO_14
MinMaxScaler,PIVOTS_TRAD_D_P
MinMaxScaler,PIVOTS_TRAD_D_R1
MinMaxScaler,PIVOTS_TRAD_D_R2
MinMaxScaler,PIVOTS_TRAD_D_R3
MinMaxScaler,PIVOTS_TRAD_D_R4
MinMaxScaler,PIVOTS_TRAD_D_S1
MinMaxScaler,PIVOTS_TRAD_D_S2
MinMaxScaler,PIVOTS_TRAD_D_S3
MinMaxScaler,PIVOTS_TRAD_D_S4
RobustScaler,PPO_12_26_9
RobustScaler,PPOh_12_26_9
RobustScaler,PPOs_12_26_9
MinMaxScaler,PSARaf_0.02_0.2
MinMaxScaler,PSARr_0.02_0.2
MinMaxScaler,PSL_12
MinMaxScaler,PVI_1
RobustScaler,PVOL
MinMaxScaler,PVO_12_26_9
MinMaxScaler,PVOh_12_26_9
MinMaxScaler,PVOs_12_26_9
MinMaxScaler,PVR
MinMaxScaler,PVT
MinMaxScaler,PWMA_10
MinMaxScaler,QQE_14_5_4.236
MinMaxScaler,QQE_14_5_4.236_RSIMA
RobustScaler,QS_10
MinMaxScaler,QTL_30_0.5
MinMaxScaler,REFLEX_20_20_0.04
MinMaxScaler,REMAP_0.0_100.0_-1.0_1.0
MinMaxScaler,RMA_10
RobustScaler,ROC_10
MinMaxScaler,RSI_14
MinMaxScaler,RSX_14
MinMaxScaler,RVGI_14_4
MinMaxScaler,RVGIs_14_4
MinMaxScaler,RVI_14
MinMaxScaler,RWIh_14
MinMaxScaler,RWIl_14
MinMaxScaler,SINWMA_14
MinMaxScaler,SKEW_30
RobustScaler,SLOPE_1
MinMaxScaler,SMA_10
MinMaxScaler,SMI_5_20_5_1.0
MinMaxScaler,SMIo_5_20_5_1.0
MinMaxScaler,SMIs_5_20_5_1.0
MinMaxScaler,SMMA_7
RobustScaler,SQZPRO_20_2.0_20_2.0_1.5_1.0
MinMaxScaler,SQZPRO_OFF
MinMaxScaler,SQZPRO_ON_NARROW
MinMaxScaler,SQZPRO_ON_NORMAL
MinMaxScaler,SQZPRO_ON_WIDE
RobustScaler,SQZ_20_2.0_20_1.5
MinMaxScaler,SQZ_OFF
MinMaxScaler,SQZ_ON
MinMaxScaler,SSF3_20
MinMaxScaler,SSF_20
MinMaxScaler,STC_10_12_26_0.5
RobustScaler,STCmacd_10_12_26_0.5
MinMaxScaler,STCstoch_10_12_26_0.5
RobustScaler,STDEV_30
MinMaxScaler,STOCHFd_14_3
MinMaxScaler,STOCHFk_14_3
MinMaxScaler,STOCHRSId_14_14_3_3
MinMaxScaler,STOCHRSIk_14_14_3_3
MinMaxScaler,STOCHd_14_3_3
MinMaxScaler,STOCHh_14_3_3
MinMaxScaler,STOCHk_14_3_3
MinMaxScaler,SUPERT_7_3.0
MinMaxScaler,SUPERTd_7_3.0
MinMaxScaler,SWMA_10
MinMaxScaler,T3_10_0.7
MinMaxScaler,TEMA_10
RobustScaler,THERMO_20_2_0.5
MinMaxScaler,THERMOl_20_2_0.5
RobustScaler,THERMOma_20_2_0.5
MinMaxScaler,THERMOs_20_2_0.5
MinMaxScaler,TMO_14_5_3
MinMaxScaler,TMOs_14_5_3
MinMaxScaler,TOS_STDEVALL_LR
MinMaxScaler,TOS_STDEVALL_L_1
MinMaxScaler,TOS_STDEVALL_L_2
MinMaxScaler,TOS_STDEVALL_L_3
MinMaxScaler,TOS_STDEVALL_U_1
MinMaxScaler,TOS_STDEVALL_U_2
MinMaxScaler,TOS_STDEVALL_U_3
MinMaxScaler,TRENDFLEX_20_20_0.04
MinMaxScaler,TRIMA_10
MinMaxScaler,TRIX_30_9
MinMaxScaler,TRIXs_30_9
RobustScaler,TRUERANGE_1
MinMaxScaler,TSI_13_25_13
MinMaxScaler,TSIs_13_25_13
RobustScaler,TSV_18_10
RobustScaler,TSVr_18_10
RobustScaler,TSVs_18_10
MinMaxScaler,TTM_TRND_6
RobustScaler,UI_14
MinMaxScaler,UO_7_14_28
RobustScaler,VAR_30
MinMaxScaler,VHF_28
RobustScaler,VHM_610
MinMaxScaler,VTXM_14
MinMaxScaler,VTXP_14
MinMaxScaler,VWAP_D
MinMaxScaler,VWMA_10
MinMaxScaler,WCP
MinMaxScaler,WILLR_14
MinMaxScaler,WMA_10
MinMaxScaler,ZL_EMA_10
MinMaxScaler,ZS_30
MinMaxScaler,close
MinMaxScaler,close_Z_30_1
MinMaxScaler,day_of_week_0
MinMaxScaler,day_of_week_1
MinMaxScaler,day_of_week_2
MinMaxScaler,day_of_week_3
MinMaxScaler,day_of_week_4
MinMaxScaler,day_of_week_5
MinMaxScaler,day_of_week_6
MinMaxScaler,fg_value
MinMaxScaler,fg_value_classification_extreme fear
MinMaxScaler,fg_value_classification_extreme greed
MinMaxScaler,fg_value_classification_fear
MinMaxScaler,fg_value_classification_greed
MinMaxScaler,fg_value_classification_neutral
MinMaxScaler,high
MinMaxScaler,high_Z_30_1
MinMaxScaler,hour_0
MinMaxScaler,hour_1
MinMaxScaler,hour_10
MinMaxScaler,hour_11
MinMaxScaler,hour_12
MinMaxScaler,hour_13
MinMaxScaler,hour_14
MinMaxScaler,hour_15
MinMaxScaler,hour_16
MinMaxScaler,hour_17
MinMaxScaler,hour_18
MinMaxScaler,hour_19
MinMaxScaler,hour_2
MinMaxScaler,hour_20
MinMaxScaler,hour_21
MinMaxScaler,hour_22
MinMaxScaler,hour_23
MinMaxScaler,hour_3
MinMaxScaler,hour_4
MinMaxScaler,hour_5
MinMaxScaler,hour_6
MinMaxScaler,hour_7
MinMaxScaler,hour_8
MinMaxScaler,hour_9
MinMaxScaler,low
MinMaxScaler,low_Z_30_1
MinMaxScaler,month_1
MinMaxScaler,month_10
MinMaxScaler,month_11
MinMaxScaler,month_12
MinMaxScaler,month_2
MinMaxScaler,month_3
MinMaxScaler,month_4
MinMaxScaler,month_5
MinMaxScaler,month_6
MinMaxScaler,month_7
MinMaxScaler,month_8
MinMaxScaler,month_9
MinMaxScaler,open
MinMaxScaler,open_Z_30_1
RobustScaler,volume
